,participant_id,age,gender,hearing_problems,speech_problems,years_actively_using_music_tech,frequency_using_music_tech,years_actively_making_music,frequency_making_music,years_actively_singing,frequency_singing
139,5917501787471872,31,m,False,False,0.0,Never,0.0,Never,0.0,Once or twice a week
140,6524588435439616,31,f,False,False,2.0,Never,0.0,Never,1.0,More than once or twice a week
141,5226990500052992,32,m,False,False,0.0,Never,0.0,Never,0.0,Never
142,5374583561519104,32,m,False,False,0.0,Never,3.0,Less than once or twice a year,0.0,Less than once or twice a year
143,5723866542374912,32,m,False,False,37.0,Once or twice a month,37.0,Once or twice a month,0.0,Never
144,5793457897472000,32,m,False,False,1.0,Less than once or twice a year,0.0,Less than once or twice a year,0.0,Once or twice a month
145,5821834612178944,32,f,False,False,0.0,Never,0.0,Never,30.0,More than once or twice a week
146,5902411419877376,32,m,False,False,4.0,More than once or twice a week,2.0,More than once or twice a week,8.0,More than once or twice a week
147,5989788234547200,32,f,False,False,1.0,Once or twice a month,72.0,Less than once or twice a year,7.0,Once or twice a month
148,6462953507258368,32,f,False,False,0.0,Never,1.0,Never,0.0,Once or twice a month
149,6480451740893184,32,f,False,False,72.0,Once or twice a month,72.0,Once or twice a month,0.0,Never
150,4504116097187840,33,m,False,False,37.0,Once or twice a year,0.0,Never,39.0,Once or twice a month
