,participant_id,age,gender,hearing_problems,speech_problems,years_actively_using_music_tech,frequency_using_music_tech,years_actively_making_music,frequency_making_music,years_actively_singing,frequency_singing
216,5582674190139392,39,f,False,False,0.0,Never,0.0,Never,0.0,Never
217,5962572100534272,39,m,False,False,0.0,Never,0.0,Never,0.0,Never
218,6016452465262592,39,m,False,False,1.0,Once or twice a year,0.0,Never,0.0,Never
219,6304592157474816,39,m,False,False,110.0,More than once or twice a week,44.0,More than once or twice a week,0.0,Never
220,4799756949782528,40,m,False,False,36.0,Once or twice a year,8.0,Once or twice a month,72.0,Less than once or twice a year
221,5386676444594176,40,f,False,False,126.0,Once or twice a year,136.0,Once or twice a month,132.0,More than once or twice a week
222,5638574129020928,40,f,False,False,0.0,Never,0.0,Never,0.0,Never
223,5731716400414720,40,f,False,False,0.0,Never,0.0,More than once or twice a week,38.0,More than once or twice a week
224,6215736263442432,40,m,False,False,1.0,Once or twice a month,1.0,Once or twice a month,77.0,More than once or twice a week
225,6242142661902336,40,m,False,False,49.0,Once or twice a week,74.0,Once or twice a month,63.0,Once or twice a year
226,6253835978801152,40,m,False,False,10.0,Once or twice a week,7.0,Once or twice a month,0.0,Never
227,5169748518109184,41,m,False,False,80.0,More than once or twice a week,70.0,Once or twice a week,90.0,More than once or twice a week
228,5517307203813376,41,f,False,False,0.0,Never,0.0,More than once or twice a week,38.0,More than once or twice a week
229,5756254085447680,41,m,False,False,2.0,Once or twice a year,12.0,Once or twice a month,4.0,Once or twice a year
230,6241155624730624,41,f,False,False,0.0,Never,0.0,Never,20.0,More than once or twice a week
231,6265747131072512,41,f,False,False,20.0,Once or twice a month,25.0,Once or twice a week,25.0,Once or twice a week
232,4831648155697152,42,f,False,False,0.0,Never,0.0,Never,72.0,Less than once or twice a year
233,5648867420798976,42,f,False,True,0.0,Never,36.0,Less than once or twice a year,26.0,Once or twice a month
234,6234271731679232,42,m,False,False,10.0,Less than once or twice a year,20.0,Less than once or twice a year,0.0,Never
235,4719935519457280,43,m,False,False,0.0,Less than once or twice a year,0.0,Never,0.0,Never
236,5354843354955776,43,m,False,False,0.0,Never,20.0,Once or twice a month,0.0,Less than once or twice a year
237,4889228634750976,44,m,False,False,0.0,Never,0.0,Never,0.0,Never
238,5149322995826688,44,m,False,False,0.0,Never,0.0,Never,0.0,Never
239,4905736475770880,45,f,False,False,0.0,Never,0.0,Never,105.0,Once or twice a week
240,5066985251536896,45,m,False,False,58.0,Once or twice a week,30.0,Once or twice a month,44.0,Once or twice a year
241,5319618180677632,45,m,False,False,88.0,Once or twice a week,33.0,More than once or twice a week,15.0,More than once or twice a week
242,5656378379075584,45,f,False,False,15.0,More than once or twice a week,8.0,More than once or twice a week,5.0,More than once or twice a week
243,6000967765983232,45,m,False,False,0.0,Never,0.0,Once or twice a year,0.0,Once or twice a year
244,6367500140806144,45,f,False,False,0.0,Never,0.0,Less than once or twice a year,0.0,Once or twice a year
245,4694683796111360,46,m,False,False,0.0,Less than once or twice a year,0.0,Never,0.0,Never
246,5127936071958528,46,f,False,False,0.0,Never,0.0,Never,0.0,Once or twice a week
247,5685570869133312,46,m,False,False,2.0,Once or twice a week,25.0,More than once or twice a week,20.0,More than once or twice a week
248,4676778748542976,47,f,False,True,0.0,Less than once or twice a year,0.0,Never,10.0,More than once or twice a week
249,4817904797220864,47,m,False,False,0.0,Never,0.0,Never,0.0,Never
250,5174790943932416,48,f,False,False,36.0,Never,107.0,Once or twice a week,107.0,Once or twice a month
251,6341176688902144,48,m,False,False,10.0,Once or twice a year,30.0,Once or twice a month,0.0,Less than once or twice a year
252,6612062692179968,48,f,False,False,5.0,Less than once or twice a year,10.0,Once or twice a month,1.0,Less than once or twice a year
253,5138397404332032,49,m,False,False,30.0,More than once or twice a week,0.0,Never,0.0,Never
254,5637641986899968,49,f,False,False,5.0,Once or twice a year,1.0,Less than once or twice a year,2.0,Once or twice a week
255,5932140378193920,49,m,False,True,79.0,Once or twice a month,4.0,Less than once or twice a year,22.0,More than once or twice a week
256,6324279750688768,49,f,False,False,0.0,Never,0.0,Once or twice a week,42.0,More than once or twice a week
257,5671321778257920,50,f,False,False,72.0,Less than once or twice a year,40.0,Once or twice a year,0.0,Less than once or twice a year
258,5719848868904960,50,f,False,False,48.0,Less than once or twice a year,0.0,Less than once or twice a year,120.0,More than once or twice a week
259,5665497936822272,51,f,False,False,72.0,Once or twice a month,44.0,Less than once or twice a year,40.0,Once or twice a week
260,5927259416297472,51,m,False,False,97.0,More than once or twice a week,40.0,More than once or twice a week,35.0,More than once or twice a week
261,5983342562377728,51,f,False,False,0.0,Never,0.0,Never,0.0,Never
262,6465361373298688,51,f,False,False,121.0,Less than once or twice a year,12.0,Less than once or twice a year,25.0,More than once or twice a week
263,5137529284067328,52,f,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
264,6331629245038592,52,f,False,False,0.0,Never,0.0,Never,50.0,Once or twice a week
265,5153437574496256,53,f,False,False,5.0,Less than once or twice a year,14.0,Less than once or twice a year,13.0,More than once or twice a week
266,5660231770046464,53,f,False,False,64.0,Less than once or twice a year,0.0,Less than once or twice a year,0.0,Never
267,5684923537031168,53,m,False,False,60.0,Once or twice a month,0.0,Never,0.0,Never
268,6609173521367040,53,f,False,False,17.0,Once or twice a month,87.0,Once or twice a month,74.0,Less than once or twice a year
269,5119288557961216,55,f,True,False,0.0,Never,0.0,Never,0.0,Never
270,5722646637445120,56,f,False,False,0.0,Never,27.0,Once or twice a year,50.0,More than once or twice a week
271,6509327611330560,56,f,False,True,0.0,Never,0.0,Never,84.0,Once or twice a week
272,6611705941458944,56,m,False,False,0.0,Never,25.0,Once or twice a month,50.0,Once or twice a week
273,5168841474703360,57,f,False,False,4.0,Once or twice a year,35.0,Once or twice a month,0.0,Once or twice a month
274,4718540326174720,58,f,False,False,0.0,Never,0.0,Never,12.0,Less than once or twice a year
275,5700239927279616,58,m,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
276,6209570301018112,58,f,False,False,0.0,Never,0.0,Never,0.0,Never
277,5456569789579264,59,f,False,False,0.0,Never,0.0,Never,0.0,Once or twice a month
278,5022996464926720,60,f,False,False,0.0,Never,0.0,Less than once or twice a year,0.0,Less than once or twice a year
279,5636432282517504,60,m,False,False,4.0,More than once or twice a week,52.0,Once or twice a month,0.0,Never
280,6450960079519744,61,f,False,False,10.0,Once or twice a month,50.0,Once or twice a month,55.0,More than once or twice a week
281,4609228442435584,63,f,False,False,77.0,Less than once or twice a year,74.0,Less than once or twice a year,0.0,Never
282,5080675459792896,65,f,False,False,3.0,Less than once or twice a year,0.0,Never,42.0,Once or twice a year
283,6242300233515008,65,f,False,False,0.0,Never,15.0,Never,60.0,More than once or twice a week
284,6495549356244992,65,f,False,False,0.0,Once or twice a month,0.0,Never,0.0,Less than once or twice a year
285,5430797972537344,69,m,False,False,20.0,Once or twice a year,20.0,Once or twice a week,45.0,Once or twice a week
286,5155206429933568,70,m,False,False,0.0,Never,0.0,Never,0.0,Never
