participant_id,age,gender,hearing_problems,speech_problems,years_actively_using_music_tech,frequency_using_music_tech,years_actively_making_music,frequency_making_music,years_actively_singing,frequency_singing
6322035294732288,50,m,False,False,0.0,Never,0.0,Never,0.0,Never
6403666516901888,50,m,False,False,0.0,Never,0.0,Never,0.0,Never
4925850277380096,52,f,False,False,0.0,Never,0.0,Never,52.0,Once or twice a month
5080222944722944,52,f,False,False,0.0,Never,1.0,Once or twice a month,0.0,Never
5371311333310464,52,f,False,False,0.0,Never,0.0,Never,122.0,Once or twice a week
5440829808181248,52,f,False,False,0.0,Never,0.0,Never,0.0,Never
4806851430449152,53,f,False,False,0.0,Less than once or twice a year,4.0,Once or twice a year,50.0,More than once or twice a week
4919395478405120,53,f,False,False,0.0,Never,0.0,Never,0.0,Never
5143558075973632,53,m,False,False,0.0,Never,43.0,Once or twice a year,50.0,More than once or twice a week
5484776383315968,53,m,False,False,0.0,Once or twice a year,0.0,Once or twice a year,0.0,Once or twice a month
5585724220899328,53,f,False,False,40.0,Once or twice a year,20.0,Less than once or twice a year,50.0,Once or twice a week
6220420663476224,53,f,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
6233487094841344,53,m,False,False,0.0,Never,0.0,Never,0.0,Never
4903589461884928,54,f,False,False,0.0,Never,3.0,Never,0.0,Never
4702761622962176,55,f,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
4782793640902656,55,f,False,False,0.0,Never,0.0,Never,54.0,More than once or twice a week
4903185667850240,55,f,False,False,0.0,Never,0.0,Never,40.0,More than once or twice a week
5682293876195328,55,m,False,False,2.0,Less than once or twice a year,20.0,Once or twice a year,30.0,Once or twice a month
5461904071852032,56,f,False,False,0.0,Never,26.0,More than once or twice a week,0.0,Never
5765410955722752,56,f,False,False,0.0,Never,0.0,Never,0.0,Never
5825826985607168,56,m,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
6263672460541952,56,m,False,False,0.0,Never,0.0,Never,0.0,Never
6528006960971776,56,m,False,False,72.0,Once or twice a month,73.0,Once or twice a week,10.0,More than once or twice a week
6230928166748160,57,f,False,False,0.0,Never,0.0,Never,44.0,Once or twice a week
5228911961047040,58,m,False,False,0.0,Never,0.0,Never,0.0,Once or twice a week
5587938612084736,58,m,False,False,0.0,Never,0.0,Never,53.0,Once or twice a month
5128014052458496,59,m,False,False,15.0,Once or twice a month,49.0,Once or twice a year,30.0,Once or twice a month
5183026476613632,59,m,False,False,0.0,Never,0.0,Never,0.0,Never
5465253609472000,59,m,False,False,50.0,Once or twice a week,0.0,Never,0.0,Never
5666536245166080,59,f,False,False,0.0,Never,0.0,Never,50.0,More than once or twice a week
6239568298770432,59,f,False,False,5.0,Less than once or twice a year,5.0,Once or twice a year,50.0,More than once or twice a week
5941297248468992,60,f,False,False,0.0,Never,0.0,Never,0.0,Never
5979748278730752,62,f,False,False,26.0,Once or twice a year,0.0,Less than once or twice a year,114.0,Once or twice a year
5255091196002304,63,f,False,False,0.0,Never,0.0,Never,10.0,Less than once or twice a year
5394274443067392,65,m,False,False,84.0,Once or twice a month,56.0,Once or twice a year,0.0,Never
5114140502786048,66,m,False,False,0.0,Never,0.0,Less than once or twice a year,144.0,Once or twice a week
5384280121278464,68,f,False,False,0.0,Never,0.0,Never,0.0,Never
5956527470936064,286,m,False,False,51.0,Once or twice a week,98.0,More than once or twice a week,27.0,More than once or twice a week
4871574171680768,1984,m,False,False,13.0,Once or twice a month,13.0,Once or twice a month,13.0,More than once or twice a week
4885515635523584,1984,m,False,False,26.0,Once or twice a month,26.0,Once or twice a month,26.0,Once or twice a month
